0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/assets/js/reserv/owl.carousel.min.js HTTP/1.1" 200 50005
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/assets/js/reserv/custom.js HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/assets/images/reserv/pt_2.jpg HTTP/1.1" 200 247907
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/images/profile/handsome-asian-man-listening-music-through-headphones.jpg HTTP/1.1" 404 902
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/images/podcast/12577967_02.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/assets/css/demo_1/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf HTTP/1.1" 404 883
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/images/podcast/11683425_4790593.jpg HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/images/profile/woman-posing-black-dress-medium-shot.jpg HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/images/verified.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/assets/images/reserv/pt_3.jpg HTTP/1.1" 200 287750
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/assets/images/reserv/pt_4.jpg HTTP/1.1" 200 269854
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:00 +0900] "GET /GitProject/assets/js/dashboard.js HTTP/1.1" 200 39931
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:01 +0900] "GET /GitProject/assets/images/reserv/pt_5.jpg HTTP/1.1" 200 220466
0:0:0:0:0:0:0:1 - - [26/Mar/2024:18:01:01 +0900] "GET /GitProject/assets/css/demo_1/fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf HTTP/1.1" 404 882
